detector,n,timestamp,model
ADWIN,14561,2017-06-15 18:43:48,hoeffding_tree
PageHinkley,18058,2017-07-14 18:42:38,hoeffding_tree
PageHinkley,21513,2017-08-06 21:28:23,hoeffding_tree
PageHinkley,26075,2017-09-05 13:24:59,hoeffding_tree
ADWIN,26721,2017-09-10 11:26:47,hoeffding_tree
PageHinkley,28696,2017-09-21 01:33:10,hoeffding_tree
PageHinkley,35918,2017-11-04 17:29:15,hoeffding_tree
PageHinkley,39715,2017-11-23 11:40:04,hoeffding_tree
ADWIN,41569,2017-11-25 12:14:42,hoeffding_tree
PageHinkley,43452,2017-11-29 15:21:02,hoeffding_tree
PageHinkley,51645,2018-01-08 12:06:55,hoeffding_tree
ADWIN,55329,2018-01-21 17:11:05,hoeffding_tree
PageHinkley,56145,2018-01-24 12:34:44,hoeffding_tree
ADWIN,63585,2018-02-22 15:43:00,hoeffding_tree
PageHinkley,67638,2018-03-08 18:28:58,hoeffding_tree
ADWIN,67937,2018-03-09 22:20:51,hoeffding_tree
PageHinkley,72068,2018-03-25 19:15:06,hoeffding_tree
ADWIN,83265,2018-05-07 11:34:38,hoeffding_tree
PageHinkley,83295,2018-05-07 13:02:03,hoeffding_tree
PageHinkley,88730,2018-05-28 14:51:21,hoeffding_tree
PageHinkley,98439,2018-07-13 08:47:39,hoeffding_tree
ADWIN,98529,2018-07-13 15:52:07,hoeffding_tree
PageHinkley,107369,2018-08-13 16:57:13,hoeffding_tree
DDM,1132,2017-01-30 08:14:53,hoeffding_adaptive
PageHinkley,1474,2017-02-03 20:30:42,hoeffding_adaptive
ADWIN,1505,2017-02-04 13:24:34,hoeffding_adaptive
ADWIN,3105,2017-02-28 11:06:43,hoeffding_adaptive
PageHinkley,3334,2017-03-02 20:08:01,hoeffding_adaptive
PageHinkley,5794,2017-03-28 17:10:35,hoeffding_adaptive
PageHinkley,8372,2017-04-27 15:33:47,hoeffding_adaptive
ADWIN,8545,2017-04-29 15:10:58,hoeffding_adaptive
PageHinkley,17252,2017-07-09 18:21:56,hoeffding_adaptive
ADWIN,17825,2017-07-13 11:20:15,hoeffding_adaptive
PageHinkley,21505,2017-08-06 20:49:26,hoeffding_adaptive
PageHinkley,26212,2017-09-06 09:49:37,hoeffding_adaptive
ADWIN,27425,2017-09-13 18:10:19,hoeffding_adaptive
PageHinkley,28279,2017-09-18 20:22:43,hoeffding_adaptive
ADWIN,31393,2017-10-08 21:38:21,hoeffding_adaptive
PageHinkley,36017,2017-11-05 13:49:38,hoeffding_adaptive
PageHinkley,41555,2017-11-25 12:02:42,hoeffding_adaptive
ADWIN,42177,2017-11-26 18:45:34,hoeffding_adaptive
PageHinkley,45653,2017-12-06 21:56:17,hoeffding_adaptive
ADWIN,49313,2017-12-26 14:14:14,hoeffding_adaptive
PageHinkley,49849,2017-12-29 19:50:28,hoeffding_adaptive
PageHinkley,51641,2018-01-08 11:55:51,hoeffding_adaptive
ADWIN,63585,2018-02-22 15:43:00,hoeffding_adaptive
PageHinkley,66520,2018-03-04 21:03:07,hoeffding_adaptive
ADWIN,67937,2018-03-09 22:20:51,hoeffding_adaptive
PageHinkley,68308,2018-03-11 19:24:28,hoeffding_adaptive
PageHinkley,82879,2018-05-05 19:29:22,hoeffding_adaptive
ADWIN,83009,2018-05-06 13:15:08,hoeffding_adaptive
PageHinkley,88492,2018-05-26 14:19:39,hoeffding_adaptive
PageHinkley,98492,2018-07-13 13:14:59,hoeffding_adaptive
