model,accuracy,macro_f1,top5_accuracy,drift_events,elapsed_s
baseline_no_change,0.169729710164599,0.13154228249882685,0.18814246416678732,25,35.59255001414567
baseline_prior,0.10038819665010723,0.005242931467895319,0.410556415198487,30,33.07679019961506
naive_bayes,0.07507849897295292,0.002367300495657999,0.2963234429151849,23,1577.079979293514
logistic_ovr,0.07507849897295292,0.002367300495657999,0.2963234429151849,23,468.81097478349693
hoeffding_tree,0.1260055560079992,0.0446705969950497,0.42494412320945424,28,1594.0209608678706
hoeffding_adaptive,0.12187926993692935,0.03164666306319375,0.42584901050574153,32,2403.636906293221
adaptive_forest,0.19571807331396873,0.08293814684664338,0.5119218901285845,36,537.3493016839493
