model,accuracy,macro_f1,top5_accuracy,drift_events,elapsed_s
baseline_no_change,0.169729710164599,0.1315422824988269,0.2952620529897206,25,41.117631917470135
baseline_prior,0.10038819665010723,0.005242931467895319,0.410556415198487,30,34.64492549013812
logistic_ovr,0.07507849897295292,0.002367300495657999,0.2963234429151849,23,504.0164236876881
hoeffding_tree,0.1260055560079992,0.0446705969950497,0.42494412320945424,28,1621.4849983148742
hoeffding_adaptive,0.1218611721910036,0.031599534782749995,0.4257856683950014,30,2584.1666283885716
adaptive_forest,0.19571807331396873,0.08293814684664334,0.5119218901285845,36,562.9841271869373
active_hoeffding_tree,0.1260055560079992,0.0446705969950497,0.42494412320945424,28,3307.206046501058
active_hoeffding_adaptive,0.12015998407398358,0.03651748119064406,0.4186551565002579,32,5723.662069211598
